f_num,10d,30d,50d,100d
1,4.17e+001,2.38e+006,2.86e+006,2.05e+007
2,8.38e-015,3.70e-011,3.06e+003,1.13e+004
3,2.32e-014,6.80e-007,5.46e+003,5.62e+004
4,3.00e+001,7.81e+001,9.68e+001,3.18e+002
5,1.84e+001,2.09e+001,2.11e+001,2.13e+001
6,6.99e-007,9.30e-002,1.08e-001,9.00e+000
7,9.37e-004,2.97e-015,4.16e-008,4.08e-004
8,3.88e-011,3.26e+001,1.10e+002,3.93e+002
9,7.09e+000,1.19e+002,2.78e+002,7.07e+002
10,7.81e+000,1.48e+003,5.67e+003,1.85e+004
11,4.94e+002,5.94e+003,1.20e+004,2.87e+004
12,5.89e-001,1.98e+000,3.04e+000,3.87e+000
13,1.27e-001,2.46e-001,3.70e-001,4.38e-001
14,1.67e-001,2.83e-001,3.42e-001,3.42e-001
15,1.22e+000,1.21e+001,2.63e+001,6.65e+001
16,2.07e+000,1.22e+001,2.19e+001,4.63e+001
17,3.72e+001,6.89e+004,5.38e+005,2.54e+006
18,7.28e-001,2.75e+002,4.87e+002,2.96e+002
19,1.75e-001,5.08e+000,3.50e+001,1.00e+002
20,3.72e-001,6.57e+001,1.32e+003,2.55e+004
21,5.11e-001,4.43e+003,3.08e+005,2.95e+006
22,2.28e-001,1.42e+002,8.07e+002,3.30e+003
23,3.29e+002,3.15e+002,3.44e+002,3.48e+002
24,1.11e+002,2.24e+002,2.69e+002,3.80e+002
25,1.24e+002,2.04e+002,2.15e+002,2.00e+002
26,1.00e+002,1.00e+002,1.00e+002,
